,image_id,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y,c4_x,c4_y,t
0,0,105.5758683,213.5052689,219.0658471,216.9901498,422.4178455,212.3187045,477.980066,213.7714192,0
1,1,106.8101489,216.3572238,219.9468542,216.9889737,422.4708464,212.3412948,477.9987004,214.0737995,0.033333333
2,2,106.4798705,214.9138263,218.222903,216.8441605,420.1977321,212.3869489,477.9618594,214.0097707,0.066666667
3,3,109.2661547,216.9057302,219.5867227,216.1505965,420.2994878,212.4321601,478.3027761,214.5182132,0.1
4,4,109.7702975,216.9857204,219.605189,217.4824324,420.1481219,212.6222151,478.2070384,214.6147605,0.133333333
5,5,109.4670466,216.826351,219.0115479,217.5897479,420.3982803,212.9192801,478.08451,214.5318988,0.166666667
6,6,107.877507,216.7052125,219.8787014,217.61188,420.453328,212.7846393,477.9124631,214.6652259,0.2
7,7,109.7873357,218.2098284,218.2635778,216.8800392,420.5206254,212.71919,478.0755594,214.8947949,0.233333333
8,8,109.8734203,218.7965657,219.9888884,216.944343,420.7954055,212.6928728,477.9216886,214.6832798,0.266666667
9,9,109.6578424,218.8616026,218.3007242,216.9866063,418.6436588,212.6087739,478.0634929,214.9627644,0.3
10,10,109.5522529,219.7250139,218.584455,216.8887607,418.5961565,212.4690011,477.939712,215.1806028,0.333333333
11,11,109.6581555,219.6536994,218.6762367,216.8840258,418.5795689,212.4500919,477.9595683,215.1854294,0.366666667
12,12,109.9676764,220.9492136,216.4642033,214.8934202,418.2368498,213.3440972,477.8772106,214.2488707,0.4
13,13,111.4225448,220.5938476,218.4692886,215.0494751,418.2547204,213.1213863,479.925216,213.9255802,0.433333333
14,14,110.9100546,220.9593708,217.8384399,214.7335467,418.4180305,213.1002012,479.9078036,214.0940529,0.466666667
15,15,111.4013062,220.9311597,217.9761507,215.0207447,416.7713354,213.2781285,479.7803264,213.8478353,0.5
16,16,111.0747547,220.4249319,217.2332516,214.7347228,416.7639428,212.7210382,479.7732698,213.3755006,0.533333333
17,17,111.113841,220.3880756,217.2320297,214.7105287,416.7522734,212.6410633,479.7537496,213.340355,0.566666667
18,18,112.2198042,220.2333037,218.3224287,214.9601525,416.6916966,212.5180155,479.7173668,213.2000782,0.6
19,19,112.2910271,219.8023617,216.4419184,214.5915134,416.9505,212.8095208,479.7196273,212.7948577,0.633333333
20,20,112.2801673,219.6994604,216.4984477,214.5375807,414.9675315,212.6443167,479.5162992,212.7236042,0.666666667
21,21,115.1126478,219.8620832,218.4005249,214.1364231,415.4747521,212.675995,479.7702761,212.3530711,0.7
22,22,115.480065,217.9314283,216.2737512,214.3468231,415.3230502,212.7338837,479.6700783,211.8851659,0.733333333
23,23,115.476384,217.9058748,216.2661752,214.3718267,415.3154132,212.7346626,479.6705977,211.8886637,0.766666667
24,24,116.0245695,216.680774,217.7034937,214.2556982,415.1089386,212.8656529,479.3838427,212.0689585,0.8
25,25,116.0571949,216.784607,217.7125818,212.5985556,414.7764532,212.7743141,479.3210663,212.0607564,0.833333333
26,26,117.4548314,218.5149122,217.6298575,212.659606,412.7449131,212.5576059,479.4053791,212.0910295,0.866666667
27,27,118.1494034,218.1223539,217.7602368,212.6499375,412.763578,212.4640523,479.4212336,211.9720753,0.9
28,28,118.1138607,218.520197,216.097061,212.8329359,412.2310331,212.5818458,479.4764951,212.3021474,0.933333333
29,29,118.0708185,216.4055051,215.9658264,212.7265827,412.2326827,212.6136311,479.4775337,212.2913792,0.966666667
30,30,119.5670489,218.5512034,216.3883676,212.841581,412.5154969,212.7527471,479.3695767,214.185575,1
31,31,120.0224294,220.6902727,216.5759329,212.7355944,412.1703951,214.371231,479.1916341,214.6939259,1.033333333
32,32,121.1593073,219.0805255,217.349258,212.8300796,412.5530406,214.5820129,479.0898784,215.0469244,1.066666667
33,33,122.8149912,220.1089118,217.1727053,212.8664777,412.5833748,214.8963528,479.4201338,214.8791237,1.1
34,34,123.2215711,219.7258235,217.4387792,212.7523347,412.4339641,214.2968617,479.4365076,215.1367052,1.133333333
35,35,123.5562713,220.4045716,217.3233074,212.9172028,412.47108,214.3663892,479.5867737,215.0178884,1.166666667
36,36,123.8705348,220.612375,216.5567487,212.5339311,411.6904234,214.6288279,478.8939734,214.2878195,1.2
37,37,126.1934426,220.8424327,216.6158288,212.6148683,411.6610362,214.544454,478.6985267,213.9999495,1.233333333
38,38,124.7690612,221.5938548,217.2204519,212.8600779,411.7121126,216.1968311,476.4053728,213.9182028,1.266666667
39,39,126.9608489,222.1304779,217.5318898,212.5684963,409.773286,216.0476647,476.5298257,214.2227062,1.3
40,40,126.4593943,222.3900909,217.0731796,213.0247779,411.5019722,216.3805473,476.3946504,213.8945891,1.333333333
41,41,126.4887586,222.2797054,217.0562559,213.0207608,411.4862705,216.4159984,476.402318,213.826253,1.366666667
42,42,128.9614131,222.1325399,217.2156864,213.1160403,411.4624735,216.2856038,476.6273964,213.5178853,1.4
43,43,128.3166498,222.4987199,217.2460971,213.6777129,411.7367954,217.966467,476.500469,213.7026707,1.433333333
44,44,129.2312445,221.6836662,216.861466,213.2719273,409.4465436,217.7080301,476.5701798,213.9300555,1.466666667
45,45,129.3099975,223.1074977,218.4422688,213.9003474,409.3623225,217.3517629,476.683391,214.2275023,1.5
46,46,129.1563864,222.3474152,217.8480167,213.2246694,409.8408584,218.1555139,476.3783988,214.1051419,1.533333333
47,47,131.198496,222.4559068,217.7413581,213.2953729,409.8606536,218.1560485,476.3582982,214.110442,1.566666667
48,48,130.9444581,222.3217395,217.5906032,213.2201635,410.2294913,218.7449241,476.3595812,213.8860051,1.6
49,49,130.984308,220.6197524,218.1341302,213.0645974,410.1758794,218.7956645,476.5059982,213.9392352,1.633333333
50,50,132.0475498,220.7043248,217.9681013,213.4032383,410.5819858,218.785996,476.2738938,213.7975378,1.666666667
51,51,132.3255986,221.4233506,218.007264,213.4378951,408.7322375,218.5706778,476.5313837,213.4381853,1.7
52,52,131.6021586,221.9986476,217.3021681,213.5367945,409.400416,221.0282415,477.1596358,213.2283199,1.733333333
53,53,131.4308601,222.1729703,217.249885,213.4739877,409.3300943,221.0519468,477.1044049,213.3267917,1.766666667
54,54,132.3933695,222.8198262,216.5676239,214.0917465,408.6098924,221.2506775,477.2617276,213.3992059,1.8
55,55,131.7653007,222.3306596,216.6579393,214.4317621,408.5475742,221.0034517,477.0735513,211.6687479,1.833333333
56,56,132.3644557,221.7577148,216.7819035,214.3804413,408.0439583,221.2939947,474.9778603,212.5004809,1.866666667
57,57,132.1396065,221.8523069,216.9122522,214.2266775,406.534913,221.0717878,474.6908304,212.7614075,1.9
58,58,132.6062745,221.8153132,216.6639267,213.5833346,406.473939,222.954299,476.3771464,215.1610826,1.933333333
59,59,133.1907664,222.5449239,216.6066032,213.539498,406.4274448,222.9567428,476.456602,215.0917232,1.966666667
60,60,132.3835483,221.3788573,216.596782,214.9071516,406.0363069,223.1542668,474.6145212,215.0354383,2
61,61,132.6491334,222.0974249,218.195593,215.1596927,406.3217484,223.3280854,474.7430982,215.6217173,2.033333333
62,62,131.951476,223.0575515,217.6822017,215.2339704,405.9444183,221.3832257,474.5997054,216.1841842,2.066666667
63,63,131.3105159,222.9235217,216.2878949,213.8018909,405.7968404,223.127415,474.7940829,215.8880051,2.1
64,64,131.5448198,222.7229735,216.3046658,215.7233967,403.7543336,223.2538078,474.746489,216.160601,2.133333333
65,65,131.3965699,222.7307327,216.3689849,215.8204938,403.6258789,223.3855464,474.844304,216.2505499,2.166666667
66,66,131.7962612,221.550675,218.0030636,215.3430882,403.984483,223.0432856,474.9975944,217.5122321,2.2
67,67,131.7797652,221.4235186,217.9386071,216.8137499,403.3529317,225.104167,475.0000382,217.6380139,2.233333333
68,68,132.7207534,222.5159796,217.8619314,216.8526529,403.5222903,225.2820486,474.9269977,217.7492395,2.266666667
69,69,131.9616485,220.687004,216.1604483,217.0045533,403.4691977,223.5891647,474.9035368,217.6545862,2.3
70,70,132.6193338,222.084503,217.9426547,217.4502347,401.4851906,223.7393697,474.97004,217.7219753,2.333333333
71,71,132.7012638,222.2405732,217.8914256,217.5271243,401.4894062,223.7633347,474.9818315,217.7039825,2.366666667
72,72,132.0367052,219.8497265,217.2662283,216.4032446,403.2123493,225.4760595,474.3237645,216.3290891,2.4
73,73,130.8595038,221.2985463,217.2088437,216.6256805,402.6678906,225.3812841,474.3278579,216.222965,2.433333333
74,74,130.818218,220.8761731,217.1241338,216.6742062,401.3792192,225.4982069,474.2592774,215.8606493,2.466666667
75,75,130.2123118,221.0322433,216.6297587,215.9652765,402.4189847,225.1273683,474.1907886,215.820616,2.5
76,76,129.8707994,221.0005802,217.0961059,215.7718154,402.3449362,224.8080796,476.2037554,215.9725164,2.533333333
77,77,129.2851924,220.7758684,215.2490764,215.8119862,402.4266218,224.5022626,474.0647472,215.7522494,2.566666667
78,78,130.2394996,220.8309925,215.2754089,215.5113776,401.9198594,223.2509973,474.098961,215.0239369,2.6
79,79,128.8613681,221.024423,217.1869101,216.217619,402.7531504,225.4738906,474.1314948,213.3023837,2.633333333
80,80,130.1385535,220.5429545,215.160212,215.7204946,402.4740324,224.0100717,476.1101255,214.1314743,2.666666667
81,81,130.1663828,220.4154009,214.9482999,215.8494229,402.250512,223.9695038,476.218449,213.3359714,2.7
82,82,127.7815082,220.3660046,214.9082666,216.3387117,402.5475006,223.9086367,476.3278723,213.5068421,2.733333333
83,83,128.3644881,220.303824,215.0527591,216.4206875,402.6537774,223.8924768,476.3695093,213.4008555,2.766666667
84,84,128.984202,220.3276515,216.940891,216.7568846,401.7402977,223.9323573,476.5822157,213.3331304,2.8
85,85,129.8769243,219.7109007,216.7052736,217.1905759,401.8382349,223.8017031,476.5652921,213.5187559,2.833333333
86,86,128.8063816,218.7976043,214.5238646,215.7556096,401.462585,223.4337819,476.4909991,213.8720904,2.866666667
87,87,128.6879313,218.673579,216.2800135,215.9344688,403.1732783,221.6451603,476.5238994,213.8505388,2.9
88,88,128.6483563,220.2048176,216.0842308,217.4700146,400.2329325,221.5207226,476.6502463,214.2072641,2.933333333
89,89,128.3839472,220.2571923,217.272231,217.0427384,402.920615,221.3845392,476.640807,216.2071258,2.966666667
90,90,128.4038188,218.2309982,217.3451187,217.0654814,402.9048828,221.4053425,476.7136031,216.0407914,3
91,91,126.837763,220.4739005,217.7905558,217.1120062,402.1208659,220.9251111,476.3753746,216.1238669,3.033333333
92,92,127.7039619,218.7828648,217.9850402,217.1207582,402.263831,220.7561802,476.5723487,216.1635031,3.066666667
93,93,127.4128538,218.4623389,216.4284773,215.5624235,402.3632039,221.3062445,476.417256,216.4808062,3.1
94,94,127.1567309,217.9731876,216.4947972,215.8519889,402.0768155,220.7223787,476.5714323,216.428126,3.133333333
95,95,127.9444823,219.1868023,216.6957273,214.4728951,403.9605638,220.6731046,476.5637341,216.5956059,3.166666667
96,96,126.7936592,217.853103,217.4069481,215.1886675,404.1144041,218.6714407,476.1100949,215.8301317,3.2
97,97,126.9510201,219.7297336,217.4493641,215.377745,404.0656493,220.2181977,476.2284382,215.7583132,3.233333333
98,98,125.419728,217.7826591,217.0195524,215.0742649,404.0315576,219.9686044,476.1797446,215.8999494,3.266666667
99,99,125.3790609,218.4563973,216.9526673,215.1542398,405.6260766,219.7618244,476.1871678,215.5261476,3.3
100,100,125.0923746,218.004591,216.6406491,214.3595464,405.888057,217.8597014,476.1533816,216.1910117,3.333333333
101,101,126.5552237,217.3869696,217.1003521,215.3395446,406.0744921,217.8206456,476.2502496,216.4250712,3.366666667
102,102,127.0975516,217.4597504,217.3113631,214.9124975,406.1445694,218.1710476,476.176201,216.1771734,3.4
103,103,125.7693968,216.648668,217.3716192,214.9701417,405.9399888,218.0309387,476.351486,216.2445319,3.433333333
104,104,126.2784808,217.158867,217.1296324,213.8007454,408.0121272,217.6302241,476.4195471,215.6595512,3.466666667
105,105,125.4429293,218.0739657,217.4587271,213.3164664,408.0552,217.5367622,476.4696765,215.326974,3.5
106,106,125.5321221,215.8048074,217.9871328,214.2396299,406.5467656,216.7665072,476.561718,215.0922272,3.533333333
107,107,125.928056,215.7558846,217.9317949,214.0488264,408.3873189,215.424453,476.5928465,213.2174295,3.566666667
108,108,125.0850431,216.1331077,216.4822114,214.6510363,407.9757139,217.2586676,477.1602468,214.80897,3.6
